duracao,ciclo,faixa_etaria,cronico,composicao_titular,especialidade,uso,total_contratos,churners,churn_rate
6,1o,51-70,S,com_crianca,exames,nao_usou,168,88,52.4
6,1o,51-70,S,com_crianca,exames,usou,339,160,47.2
6,1o,51-70,S,com_idoso,exames,nao_usou,382,182,47.6
6,1o,51-70,S,com_idoso,exames,usou,854,375,43.9
6,1o,51-70,S,solo,exames,nao_usou,1090,610,56.0
6,1o,51-70,S,solo,exames,usou,1618,812,50.2
6,1o,71+,N,com_ambos,exames,nao_usou,39,17,43.6
6,1o,71+,N,com_ambos,exames,usou,65,29,44.6
6,1o,71+,N,com_crianca,exames,nao_usou,74,36,48.6
6,1o,71+,N,com_crianca,exames,usou,99,49,49.5
6,1o,71+,N,com_idoso,exames,nao_usou,352,176,50.0
6,1o,71+,N,com_idoso,exames,usou,456,203,44.5
6,1o,71+,N,solo,exames,nao_usou,777,409,52.6
6,1o,71+,N,solo,exames,usou,789,397,50.3
6,1o,71+,S,com_ambos,exames,usou,30,13,43.3
6,1o,71+,S,com_crianca,exames,nao_usou,34,13,38.2
6,1o,71+,S,com_crianca,exames,usou,56,31,55.4
6,1o,71+,S,com_idoso,exames,nao_usou,133,66,49.6
6,1o,71+,S,com_idoso,exames,usou,251,124,49.4
6,1o,71+,S,solo,exames,nao_usou,320,166,51.9
6,1o,71+,S,solo,exames,usou,484,241,49.8
6,2o+,00-20,N,com_crianca,exames,nao_usou,51,23,45.1
6,2o+,00-20,N,com_idoso,exames,nao_usou,31,17,54.8
6,2o+,00-20,N,solo,exames,nao_usou,191,110,57.6
6,2o+,21-30,N,com_ambos,exames,nao_usou,245,94,38.4
6,2o+,21-30,N,com_crianca,exames,nao_usou,646,345,53.4
6,2o+,21-30,N,com_idoso,exames,nao_usou,730,331,45.3
6,2o+,21-30,N,solo,exames,nao_usou,2494,1315,52.7
6,2o+,21-30,S,com_crianca,exames,nao_usou,30,12,40.0
6,2o+,21-30,S,solo,exames,nao_usou,87,48,55.2
6,2o+,31-50,N,com_ambos,exames,nao_usou,1984,880,44.4
6,2o+,31-50,N,com_crianca,exames,nao_usou,3939,1892,48.0
6,2o+,31-50,N,com_idoso,exames,nao_usou,3263,1357,41.6
6,2o+,31-50,N,solo,exames,nao_usou,6634,3299,49.7
