duracao,n_obs,n_features,churn_rate_pp,auc_cv,auc_train_n600,gap_train_cv,auc_train_honest_avgBI,gap_honest_cv,ks_cv_pp,brier_cv,brier_train,logloss_cv,ece_pp,platt_slope,platt_intercept,best_iter_mean,best_iter_min,best_iter_max,auc_per_fold_std
12m,86366,43,58.84,0.5814,0.639,0.0576,0.5958,0.0144,11.89,0.2373,0.2286,0.6672,0.432,1.015,-0.005,53,30,69,0.003
6m,102023,42,51.65,0.595,0.6339,0.0389,0.6052,0.0103,13.67,0.2429,0.236,0.6787,0.4,1.023,-0.001,56,38,80,0.0041
