duracao,n_perfis,n_contratos,churn_global_pct,mae_pp,correlacao,c_index,gini,ref_churn_pp,scale_pts_por_logit
12m,64,86235,58.84,1.244,0.8565,0.5796,0.1591,45.6,872.9
6m,67,101920,51.65,1.117,0.9131,0.5935,0.1871,34.6,761.3
