tipo_retorno,contratos,pct,mudou_plano,mudou_pagamento,next_first,next_renewal,next_reactivation,days_diff_medio,dias_calculados_medio
sem_proximo,41448,75.1,0,0,0,0,0,17.0,
outro_account,13717,24.9,5998,1019,0,13119,15,11.4,11.6
