target,auc_perfil,auc_completo,delta,rate
Original,0.590723997342576,0.7426863826862634,0.15196238534368744,54.70077188902884
v4 (exclui 30d),0.638368154604342,0.688655219803973,0.050287065199631,22.455834382973226
v5 (so pago 30d),0.6023839550451415,0.7340031966454725,0.131619241600331,49.41462390595227
Estendido (pos-gratis),0.6302398609890478,0.7319382923019936,0.10169843131294576,41.903239350192166
