account_id,contract_id,contract_register_date,contract_due_date,account_due_date,plan_months_duration,plan_name,payment_method,account_contract_number,contract_sale_type,canal,days_diff_until_next_contract,date_month
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-1,2024-03-29,2025-03-29,2026-03-30,12,cartao dr.consulta anual,credit_card,1,first_contract,drc_cfp,0,2024-04-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-1,2024-03-29,2025-03-29,2026-03-30,12,cartao dr.consulta anual,credit_card,1,first_contract,drc_cfp,0,2024-05-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-1,2024-03-29,2025-03-29,2026-03-30,12,cartao dr.consulta anual,credit_card,1,first_contract,drc_cfp,0,2024-06-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-1,2024-03-29,2025-03-29,2026-03-30,12,cartao dr.consulta anual,credit_card,1,first_contract,drc_cfp,0,2024-07-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-1,2024-03-29,2025-03-29,2026-03-30,12,cartao dr.consulta anual,credit_card,1,first_contract,drc_cfp,0,2024-08-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-1,2024-03-29,2025-03-29,2026-03-30,12,cartao dr.consulta anual,credit_card,1,first_contract,drc_cfp,0,2024-09-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-1,2024-03-29,2025-03-29,2026-03-30,12,cartao dr.consulta anual,credit_card,1,first_contract,drc_cfp,0,2024-10-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-1,2024-03-29,2025-03-29,2026-03-30,12,cartao dr.consulta anual,credit_card,1,first_contract,drc_cfp,0,2024-11-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-1,2024-03-29,2025-03-29,2026-03-30,12,cartao dr.consulta anual,credit_card,1,first_contract,drc_cfp,0,2024-12-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-1,2024-03-29,2025-03-29,2026-03-30,12,cartao dr.consulta anual,credit_card,1,first_contract,drc_cfp,0,2025-01-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-1,2024-03-29,2025-03-29,2026-03-30,12,cartao dr.consulta anual,credit_card,1,first_contract,drc_cfp,0,2025-02-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-2,2025-03-29,2026-03-30,2026-03-30,12,cartao dr.consulta anual,credit_card,2,renewal,drc_cfp,17,2025-03-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-2,2025-03-29,2026-03-30,2026-03-30,12,cartao dr.consulta anual,credit_card,2,renewal,drc_cfp,17,2025-04-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-2,2025-03-29,2026-03-30,2026-03-30,12,cartao dr.consulta anual,credit_card,2,renewal,drc_cfp,17,2025-05-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-2,2025-03-29,2026-03-30,2026-03-30,12,cartao dr.consulta anual,credit_card,2,renewal,drc_cfp,17,2025-06-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-2,2025-03-29,2026-03-30,2026-03-30,12,cartao dr.consulta anual,credit_card,2,renewal,drc_cfp,17,2025-07-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-2,2025-03-29,2026-03-30,2026-03-30,12,cartao dr.consulta anual,credit_card,2,renewal,drc_cfp,17,2025-08-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-2,2025-03-29,2026-03-30,2026-03-30,12,cartao dr.consulta anual,credit_card,2,renewal,drc_cfp,17,2025-09-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-2,2025-03-29,2026-03-30,2026-03-30,12,cartao dr.consulta anual,credit_card,2,renewal,drc_cfp,17,2025-10-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-2,2025-03-29,2026-03-30,2026-03-30,12,cartao dr.consulta anual,credit_card,2,renewal,drc_cfp,17,2025-11-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-2,2025-03-29,2026-03-30,2026-03-30,12,cartao dr.consulta anual,credit_card,2,renewal,drc_cfp,17,2025-12-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-2,2025-03-29,2026-03-30,2026-03-30,12,cartao dr.consulta anual,credit_card,2,renewal,drc_cfp,17,2026-01-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-2,2025-03-29,2026-03-30,2026-03-30,12,cartao dr.consulta anual,credit_card,2,renewal,drc_cfp,17,2026-02-01
043b0310-edd4-11ee-8a98-d33e330ae38f,043b0310-edd4-11ee-8a98-d33e330ae38f-2,2025-03-29,2026-03-30,2026-03-30,12,cartao dr.consulta anual,credit_card,2,renewal,drc_cfp,17,2026-03-01
062c69b0-56a2-11f0-bc30-cf173838a38c,062c69b0-56a2-11f0-bc30-cf173838a38c-1,2025-07-01,2026-01-02,2026-01-02,6,cartao dr.consulta semestral,credit_card,1,renewal,drc_cm,17,2025-07-01
062c69b0-56a2-11f0-bc30-cf173838a38c,062c69b0-56a2-11f0-bc30-cf173838a38c-1,2025-07-01,2026-01-02,2026-01-02,6,cartao dr.consulta semestral,credit_card,1,renewal,drc_cm,17,2025-08-01
062c69b0-56a2-11f0-bc30-cf173838a38c,062c69b0-56a2-11f0-bc30-cf173838a38c-1,2025-07-01,2026-01-02,2026-01-02,6,cartao dr.consulta semestral,credit_card,1,renewal,drc_cm,17,2025-09-01
062c69b0-56a2-11f0-bc30-cf173838a38c,062c69b0-56a2-11f0-bc30-cf173838a38c-1,2025-07-01,2026-01-02,2026-01-02,6,cartao dr.consulta semestral,credit_card,1,renewal,drc_cm,17,2025-10-01
062c69b0-56a2-11f0-bc30-cf173838a38c,062c69b0-56a2-11f0-bc30-cf173838a38c-1,2025-07-01,2026-01-02,2026-01-02,6,cartao dr.consulta semestral,credit_card,1,renewal,drc_cm,17,2025-11-01
062c69b0-56a2-11f0-bc30-cf173838a38c,062c69b0-56a2-11f0-bc30-cf173838a38c-1,2025-07-01,2026-01-02,2026-01-02,6,cartao dr.consulta semestral,credit_card,1,renewal,drc_cm,17,2025-12-01
062c69b0-56a2-11f0-bc30-cf173838a38c,062c69b0-56a2-11f0-bc30-cf173838a38c-1,2025-07-01,2026-01-02,2026-01-02,6,cartao dr.consulta semestral,credit_card,1,renewal,drc_cm,17,2026-01-01
06bea690-b482-11ee-acf8-ad42860c9a06,,,,2026-01-17,6,cartao dr.consulta semestral,credit_card,,,drc_cm,,2026-02-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-1,2024-01-16,2024-07-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,1,first_contract,drc_cm,0,2024-01-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-1,2024-01-16,2024-07-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,1,first_contract,drc_cm,0,2024-02-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-1,2024-01-16,2024-07-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,1,first_contract,drc_cm,0,2024-03-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-1,2024-01-16,2024-07-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,1,first_contract,drc_cm,0,2024-04-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-1,2024-01-16,2024-07-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,1,first_contract,drc_cm,0,2024-05-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-1,2024-01-16,2024-07-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,1,first_contract,drc_cm,0,2024-06-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-2,2024-07-16,2025-01-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,2,renewal,drc_cm,0,2024-07-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-2,2024-07-16,2025-01-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,2,renewal,drc_cm,0,2024-08-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-2,2024-07-16,2025-01-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,2,renewal,drc_cm,0,2024-09-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-2,2024-07-16,2025-01-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,2,renewal,drc_cm,0,2024-10-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-2,2024-07-16,2025-01-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,2,renewal,drc_cm,0,2024-11-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-2,2024-07-16,2025-01-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,2,renewal,drc_cm,0,2024-12-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-3,2025-01-16,2025-07-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,3,renewal,drc_cm,0,2025-01-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-3,2025-01-16,2025-07-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,3,renewal,drc_cm,0,2025-02-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-3,2025-01-16,2025-07-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,3,renewal,drc_cm,0,2025-03-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-3,2025-01-16,2025-07-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,3,renewal,drc_cm,0,2025-04-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-3,2025-01-16,2025-07-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,3,renewal,drc_cm,0,2025-05-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-3,2025-01-16,2025-07-16,2026-01-17,6,cartao dr.consulta semestral,credit_card,3,renewal,drc_cm,0,2025-06-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-4,2025-07-16,2026-01-17,2026-01-17,6,cartao dr.consulta semestral,credit_card,4,renewal,drc_cm,17,2025-07-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-4,2025-07-16,2026-01-17,2026-01-17,6,cartao dr.consulta semestral,credit_card,4,renewal,drc_cm,17,2025-08-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-4,2025-07-16,2026-01-17,2026-01-17,6,cartao dr.consulta semestral,credit_card,4,renewal,drc_cm,17,2025-09-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-4,2025-07-16,2026-01-17,2026-01-17,6,cartao dr.consulta semestral,credit_card,4,renewal,drc_cm,17,2025-10-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-4,2025-07-16,2026-01-17,2026-01-17,6,cartao dr.consulta semestral,credit_card,4,renewal,drc_cm,17,2025-11-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-4,2025-07-16,2026-01-17,2026-01-17,6,cartao dr.consulta semestral,credit_card,4,renewal,drc_cm,17,2025-12-01
06bea690-b482-11ee-acf8-ad42860c9a06,06bea690-b482-11ee-acf8-ad42860c9a06-4,2025-07-16,2026-01-17,2026-01-17,6,cartao dr.consulta semestral,credit_card,4,renewal,drc_cm,17,2026-01-01
