layout,faixa,feature,val_risco,pct_risco,delta_risco,val_protege,pct_protege,delta_protege
7_faixas,ALTO,rotatividade_cat,alta,3.0,-3.5,continuidade,20.7,-37.6
7_faixas,MEDIO,ciclo,1o,74.2,12.1,2o+,25.8,-12.1
7_faixas,MEDIO,duracao,12,30.8,-12.5,6,69.2,12.5
7_faixas,MEDIO,cronico,N,99.3,14.5,S,0.7,-14.5
7_faixas,MEDIO,faixa_dep,sem_dep,99.9,58.6,3+_dep,0.0,-27.0
7_faixas,MEDIO,faixa_idade_cat,jovem,2.1,-8.2,senior,1.9,-34.0
7_faixas,MEDIO,canal_simples,digital,41.0,2.7,presencial,59.0,-2.7
7_faixas,MEDIO,faixa_nps_cat,sem_nps,93.1,5.7,promotor,5.5,-5.4
7_faixas,MEDIO,faixa_tempo_cat,sem_atend,32.6,2.3,longo,45.9,-4.4
7_faixas,MEDIO,rotatividade_cat,alta,6.8,0.3,continuidade,55.8,-2.5
7_faixas,BAIXO,ciclo,1o,55.0,-7.1,2o+,45.0,7.1
7_faixas,BAIXO,duracao,12,39.8,-3.5,6,60.2,3.5
7_faixas,BAIXO,cronico,N,93.3,8.5,S,6.7,-8.5
7_faixas,BAIXO,faixa_dep,sem_dep,83.1,41.8,3+_dep,0.7,-26.3
7_faixas,BAIXO,faixa_idade_cat,jovem,22.2,11.9,senior,9.9,-26.0
7_faixas,BAIXO,canal_simples,digital,46.5,8.2,presencial,53.5,-8.2
7_faixas,BAIXO,faixa_nps_cat,sem_nps,85.0,-2.4,promotor,13.0,2.1
7_faixas,BAIXO,faixa_tempo_cat,sem_atend,26.5,-3.8,longo,50.7,0.4
7_faixas,BAIXO,rotatividade_cat,alta,8.9,2.4,continuidade,60.1,1.8
7_faixas,MUITO BAIXO,ciclo,1o,67.2,5.1,2o+,32.8,-5.1
7_faixas,MUITO BAIXO,duracao,12,40.2,-3.1,6,59.8,3.1
7_faixas,MUITO BAIXO,cronico,N,82.8,-2.0,S,17.2,2.0
7_faixas,MUITO BAIXO,faixa_dep,sem_dep,18.2,-23.1,3+_dep,35.7,8.7
7_faixas,MUITO BAIXO,faixa_idade_cat,jovem,12.7,2.4,senior,46.7,10.8
7_faixas,MUITO BAIXO,canal_simples,digital,35.7,-2.6,presencial,64.3,2.6
7_faixas,MUITO BAIXO,faixa_nps_cat,sem_nps,88.9,1.5,promotor,9.4,-1.5
7_faixas,MUITO BAIXO,faixa_tempo_cat,sem_atend,34.6,4.3,longo,47.2,-3.1
7_faixas,MUITO BAIXO,rotatividade_cat,alta,6.1,-0.4,continuidade,54.2,-4.1
7_faixas,SEGURO,ciclo,1o,32.9,-29.2,2o+,67.1,29.2
7_faixas,SEGURO,duracao,12,58.2,14.9,6,41.8,-14.9
7_faixas,SEGURO,cronico,N,63.5,-21.3,S,36.5,21.3
7_faixas,SEGURO,faixa_dep,sem_dep,6.2,-35.1,3+_dep,56.8,29.8
7_faixas,SEGURO,faixa_idade_cat,jovem,3.2,-7.1,senior,68.0,32.1
7_faixas,SEGURO,canal_simples,digital,37.3,-1.0,presencial,62.7,1.0
7_faixas,SEGURO,faixa_nps_cat,sem_nps,73.4,-14.0,promotor,24.5,13.6
7_faixas,SEGURO,faixa_tempo_cat,sem_atend,0.1,-30.2,longo,78.9,28.6
7_faixas,SEGURO,rotatividade_cat,alta,6.6,0.1,continuidade,86.2,27.9
