desfecho,contratos,usaram_rede,pct_usaram,media_itens_todos,media_itens_quem_usou,media_consultas,media_tele,media_exames,media_especialidades,media_dias_com_uso
saiu_de_vez,11932,448,3.8,0.1,1.6,1.4,0.0,0.0,1.2,1.4
voltou_pago,2431,321,13.2,0.5,3.7,1.8,0.0,0.0,1.6,2.1
