layout,faixa,feature,mudanca,afetados,migraram,pct_migraram,score_antes,score_depois,delta_score,churn_afetados,destinos
7_faixas,MEDIO,faixa_nps_cat,detrator/neutro/sem → promotor (NPS 9+),22055,17,0.1,515,466,-49,41.0,BAIXO(17)
7_faixas,MEDIO,rotatividade_cat,alta/sem_atend → continuidade (mesmo medico),10306,74,0.7,511,511,0,41.3,BAIXO(74)
7_faixas,MEDIO,faixa_tempo_cat,sem_atend/curto → longo (engajamento),12634,5079,40.2,512,540,28,40.8,BAIXO(5079)
7_faixas,MEDIO,faixa_idade_cat,jovem → adulto (envelhecimento natural),930,3,0.3,512,396,-116,42.0,BAIXO(3)
7_faixas,MEDIO,duracao,12 → 6 (plano semestral),7186,0,0.0,505,505,0,42.5,-
7_faixas,BAIXO,ciclo,1o → 2o+ (sobreviver ao primeiro ciclo),8349,0,0.0,636,636,0,29.7,-
7_faixas,BAIXO,cronico,N → S (acompanhamento cronico),14156,0,0.0,637,637,0,29.4,-
7_faixas,BAIXO,faixa_dep,sem_dep → 1-2_dep (adicionar dependente),12703,12128,95.5,631,814,183,29.4,"MUITO BAIXO(10105), SEGURO(2023)"
7_faixas,BAIXO,faixa_dep,sem_dep → 3+_dep (familia completa),15067,12124,80.5,640,795,155,29.3,"MUITO BAIXO(10101), SEGURO(2023)"
7_faixas,BAIXO,faixa_nps_cat,detrator/neutro/sem → promotor (NPS 9+),13193,37,0.3,642,599,-43,29.2,MUITO BAIXO(37)
7_faixas,BAIXO,rotatividade_cat,alta/sem_atend → continuidade (mesmo medico),6049,31,0.5,654,654,0,29.1,MUITO BAIXO(31)
7_faixas,BAIXO,faixa_tempo_cat,sem_atend/curto → longo (engajamento),7484,1609,21.5,650,677,27,29.1,MUITO BAIXO(1609)
7_faixas,BAIXO,faixa_idade_cat,jovem → adulto (envelhecimento natural),4872,1525,31.3,664,579,-85,29.5,MUITO BAIXO(1525)
7_faixas,BAIXO,duracao,12 → 6 (plano semestral),6030,0,0.0,644,644,0,29.7,-
7_faixas,MUITO BAIXO,ciclo,1o → 2o+ (sobreviver ao primeiro ciclo),48266,0,0.0,797,797,0,18.8,-
7_faixas,MUITO BAIXO,cronico,N → S (acompanhamento cronico),59431,0,0.0,795,795,0,19.0,-
7_faixas,MUITO BAIXO,faixa_dep,sem_dep → 1-2_dep (adicionar dependente),38652,3209,8.3,802,795,-7,18.5,SEGURO(3209)
7_faixas,MUITO BAIXO,faixa_dep,sem_dep → 3+_dep (familia completa),46171,3149,6.8,789,803,14,19.2,SEGURO(3149)
7_faixas,MUITO BAIXO,faixa_nps_cat,detrator/neutro/sem → promotor (NPS 9+),65011,18,0.0,796,761,-35,19.0,SEGURO(18)
7_faixas,MUITO BAIXO,rotatividade_cat,alta/sem_atend → continuidade (mesmo medico),32842,177,0.5,786,785,-1,19.4,SEGURO(177)
7_faixas,MUITO BAIXO,faixa_tempo_cat,sem_atend/curto → longo (engajamento),37934,6927,18.3,789,813,24,19.4,SEGURO(6927)
7_faixas,MUITO BAIXO,faixa_idade_cat,jovem → adulto (envelhecimento natural),42620,694,1.6,801,735,-66,18.9,SEGURO(694)
7_faixas,MUITO BAIXO,duracao,12 → 6 (plano semestral),28892,0,0.0,797,797,0,19.0,-
