contract_id,desfecho,dias_ate_proximo,next_is_gratis
c3348d50-01cd-11f0-b885-b588aa133adf-1,migrou_gratis,17,true
c3349ea0-2fd1-11ee-815d-4b632143064f-1,voltou_pago,40,false
c334a570-3b94-11ee-9310-51bf1b8bf395-2,voltou_pago,16,false
c334b370-5f99-11ee-9458-27808dbcd40f-1,migrou_gratis,16,true
c334c430-f629-11ec-814b-2f50d4a3bd51-1,saiu_de_vez,,
c3355df0-083b-11ec-b19c-59b4b666a530-2,voltou_pago,8,false
c33570b0-3936-11ed-9bf3-4bcd8fa8808f-1,voltou_pago,279,false
c33575d0-32ee-11ee-bb8f-c58757419c72-1,migrou_gratis,16,true
c33594e0-66e4-11ef-b1b8-a3c974885b3a-2,voltou_pago,6,false
c3359fd0-cdb9-11ef-88fc-5b15540e2306-1,voltou_pago,1,false
c33662e0-cb8e-11ee-9737-8f04f4f1f3e2-1,voltou_pago,173,false
c336e400-12f4-11f0-b21a-55382e586ca2-1,saiu_de_vez,,
c336f080-30ef-11f0-a5cd-2fa2060f532b-1,saiu_de_vez,,
c33730a0-9c9c-11ef-858e-47edbbe75075-2,voltou_pago,2,false
c3375550-3c26-11ec-9dc4-4f398be8da1e-2,voltou_pago,4,false
c337a010-1387-11ef-8370-f1181865a44c-2,saiu_de_vez,,
c337d610-cf4a-11ee-a5d9-692fb458bae3-1,saiu_de_vez,,
c337dc80-2401-11ef-a332-7175008d484a-1,voltou_pago,7,false
c33871b0-3f3b-11ed-b9a9-03435ee7d957-1,voltou_pago,158,false
c3399ab0-242b-11ee-95a0-6dfa02791e96-2,migrou_gratis,17,true
c339b6e0-71ee-11f0-b4d2-d91bad61f44b-1,migrou_gratis,200,true
c339be00-0e18-11ef-95cd-31f4e0e75d87-3,migrou_gratis,17,true
c339fee0-2004-11ee-aeca-e16ebd869ce4-3,voltou_pago,4,false
c33a3ae0-99f3-11ee-889a-cd8a51dfc204-1,voltou_pago,51,false
c33a8350-c9ff-11ef-ab6f-db1c16e65a9f-1,migrou_gratis,17,true
c33abd70-b9c4-11ef-9b99-0fc9407cd362-1,saiu_de_vez,,
c33adbb0-cfec-11ee-9302-4ff6788ba654-3,voltou_pago,1,false
c33b1c90-82fa-11ee-8b77-17d795058361-1,saiu_de_vez,,
c33b39a0-ccff-11ef-ac95-b33d1567659d-1,migrou_gratis,17,true
c33b5b90-28ba-11ef-84fa-65d7b615da47-1,saiu_de_vez,,
c33b66c0-ac3c-11ef-a32c-f5df056bc3e8-1,voltou_pago,365,false
c33c0a70-ed07-11ee-8b95-8f38f67b9c6b-1,migrou_gratis,17,true
c33c45c0-d37b-11ef-b03a-b378238289cb-1,migrou_gratis,17,true
c33cf700-afb4-11ed-a240-5739866873ee-1,migrou_gratis,16,true
c33d17a0-9595-11ed-9e16-2d9b103e5d33-1,voltou_pago,94,false
c33d47c0-ffda-11ed-a4a1-9f746a72f6f7-1,migrou_gratis,17,true
c33d5770-ecac-11ec-aab7-c14e3f78b0b6-3,migrou_gratis,17,true
c33db9c0-1146-11ef-bd84-434884bb6a6e-1,saiu_de_vez,,
c33e0880-be48-11ef-90f6-7395c243b406-1,saiu_de_vez,,
c33e38a0-8b9b-11ed-b413-1d83378951ee-1,saiu_de_vez,,
c33e7b60-ff3b-11ef-bb02-6f3c2b484232-2,saiu_de_vez,,
c33eb000-df05-11ee-9906-f708c11e88f3-1,saiu_de_vez,,
c33f0160-66a4-11ee-9d11-fdd7c3b12e10-1,migrou_gratis,17,true
c33f1bc0-b984-11f0-9d57-6777504e1aa8-1,saiu_de_vez,,
c33f86f0-4681-11ee-a902-b13ef28ae144-1,saiu_de_vez,,
c33fb8c0-6db7-11ee-ba5d-17ac601c16e9-1,saiu_de_vez,,
c33fdef0-76b0-11f0-b3e4-736311062c60-1,saiu_de_vez,,
c33fe020-0894-11ef-a5e4-b13bc43d47a9-1,saiu_de_vez,,
c33ffaf0-7041-11ef-a872-778dabb7b838-1,voltou_pago,16,false
c3400df0-6f70-11ef-ad56-47a6a3ef3207-1,voltou_pago,48,false
c3402300-2ea4-11f0-8500-df8994653a2c-2,saiu_de_vez,,
c3403c00-0628-11ef-8d06-c3270a3b0fc5-2,saiu_de_vez,,
c3406a30-56fc-11ee-ada7-2f39aaaf6f25-2,migrou_gratis,17,true
c34070a0-27dd-11ee-9838-135d4c54cb03-1,saiu_de_vez,,
c3408fd0-3d58-11f0-8f2d-dd10ea7fc478-1,voltou_pago,70,false
c3420e40-818e-11ef-94d7-794dd4fe75e8-1,saiu_de_vez,,
c3428810-a123-11f0-a17a-2deaaafbaafa-1,saiu_de_vez,,
c342a4e0-b7d0-11ef-876b-3b84659d1696-1,saiu_de_vez,,
c3431210-e84a-11ed-8b62-4fdcedb791b3-1,voltou_pago,7,false
c34350f0-13c1-11f0-870e-7305a68e468d-1,saiu_de_vez,,
c343b0e0-0ce9-11ed-a5b0-5f1232132405-1,voltou_pago,160,false
c343b5f0-277b-11ef-a4da-173b854f3664-1,saiu_de_vez,,
c3443d40-d925-11ed-9f08-4f37f99372c3-3,saiu_de_vez,,
c3447950-ec78-11ef-ac18-959f7c524ea0-1,migrou_gratis,17,true
c3449a40-a022-11ef-89b0-2b43e721b872-1,migrou_gratis,17,true
c344b560-f714-11ed-bf7c-2397bf3c5768-1,voltou_pago,354,false
c344cde0-741b-11ef-ac38-f300c78e155a-1,saiu_de_vez,,
c3455630-7fb6-11ed-8506-bdcf8ab7a7f1-1,migrou_gratis,16,true
c3457fb0-903d-11ed-8309-0bb6cefe4ca9-1,migrou_gratis,16,true
c345ff40-9c4e-11ed-9df2-377e3e8ab341-2,voltou_pago,80,false
c3461820-9d1c-11ee-aa37-795e1ca456f9-2,voltou_pago,4,false
c3467a60-6c55-11ee-81fa-4d53c032cbc0-1,saiu_de_vez,,
c346eac0-3272-11ef-882e-21d9379fad7b-1,saiu_de_vez,,
c346f050-28e6-11ef-95d7-8767ab8acd6f-1,voltou_pago,31,false
c3470cc0-e7be-11ee-81e8-8da0754c4bb5-2,migrou_gratis,17,true
c3471470-b79c-11ed-abf2-f7e7463d9782-1,migrou_gratis,16,true
c3472d60-9307-11ee-92b4-735e7ec6a441-1,saiu_de_vez,,
c3472de0-ee8f-11ee-9df1-bfdb48eb8290-1,saiu_de_vez,,
c3473630-24a2-11ee-b11e-d155af78449c-1,voltou_pago,72,false
c3474d20-d219-11ef-908a-8f0217103975-1,migrou_gratis,17,true
c3477bb0-84df-11ef-9279-b3db0ddd5e95-1,migrou_gratis,17,true
c3477ed0-28e1-11ef-95d7-8767ab8acd6f-1,saiu_de_vez,,
c3478f50-e3fd-11eb-a883-a5d1fd270c8d-4,saiu_de_vez,,
c347be80-887a-11ed-91df-e530dab115c6-1,saiu_de_vez,,
c347d7b0-5db2-11ec-8a5b-e9a64a0f7d82-2,saiu_de_vez,,
c347f520-fb5c-11ee-9465-f50419d7fc09-1,saiu_de_vez,,
c34849e0-1065-11ee-a1c0-27d384e7ca1b-1,migrou_gratis,16,true
c348a990-cc16-11ee-9ac5-2dbf967983ee-1,saiu_de_vez,,
c348d4a0-6348-11ef-951f-c36cf34aa058-1,saiu_de_vez,,
c348ecb0-c4e3-11ed-87a7-014dd3860145-1,saiu_de_vez,,
c34911d0-2d89-11ef-a626-fb38dd43575b-1,saiu_de_vez,,
c349af40-78f9-11ee-976e-7bb1f8c599ca-1,saiu_de_vez,,
c349d8e0-e465-11ed-bcaf-99a2bb24d5f9-2,migrou_gratis,17,true
c34a0130-ded9-11ed-8788-bf013654128b-1,saiu_de_vez,,
c34abc80-4885-11ef-bb2d-4170f521c11d-2,saiu_de_vez,,
c34ae440-3fc0-11ee-9898-07efa636007b-1,migrou_gratis,16,true
c34ae710-57e4-11ee-acf3-2b42c15f24bd-1,saiu_de_vez,,
c34b7cf0-2708-11ee-b1ce-e346db825a12-2,migrou_gratis,17,true
c34b8ae0-c15a-11ef-8052-55ea1cc66c44-2,migrou_gratis,17,true
c34bf090-1ef8-11ed-8b39-fbad9faf7aa3-1,voltou_pago,68,false
c34bf0c0-0eb8-11ef-86d1-21a6fc049f04-2,voltou_pago,3,false
c34c24b0-3186-11ee-b313-9960d697393e-1,saiu_de_vez,,
c34c6270-a98d-11ee-aa57-af2a651c4f06-2,saiu_de_vez,,
c34ca170-9086-11ed-a7e8-07f3ea14f051-3,migrou_gratis,17,true
c34cc640-f5ad-11ee-8fd7-9d52669383dc-2,saiu_de_vez,,
c34d03b0-f4ac-11ed-9ff2-15237827f1fc-1,saiu_de_vez,,
c34d9400-c6bb-11ef-817e-2987de038c73-1,migrou_gratis,17,true
