contract_id,churn_original,churn_v4,churn_v5,churn_pm,desfecho_final,score_v4,score_v5,score_pm,faixa_5_v4,faixa_5_v5,faixa_5_pm,faixa_7_v4,faixa_7_v5,faixa_7_pm
0d3dd3c0-0417-11f0-baf5-b9fc365c9313-1,1,1,1,0,voltou_pago,766,509,506,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
0d419810-0efe-11f0-a152-1d83d629bc74-1,0,0,0,0,,821,612,702,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,BAIXO
0dc0d000-7f3c-11ef-ab82-29d64cb66cac-1,1,0,0,0,voltou_pago,799,511,601,BAIXO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
0dfe1440-0e90-11f0-9190-014e058e1238-1,0,0,0,0,,809,512,485,SEGURO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
0eb4f260-7f9c-11ef-a068-bd0b3083fdfd-1,1,0,1,1,gratis_saiu,787,447,544,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
0f832890-7f80-11ef-8dbe-072fd986707a-1,1,0,0,0,voltou_pago,569,513,561,MEDIO,MEDIO,MEDIO,MEDIO,MEDIO,MEDIO
0fd9f950-5fa5-11ee-ab6b-1902b2287c80-2,1,0,1,1,gratis_saiu,766,485,527,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
0fdd9560-0e5e-11f0-96a5-fd8eab8a69e1-1,1,0,1,1,gratis_saiu,599,470,492,MEDIO,MEDIO,MEDIO,BAIXO,MEDIO,MEDIO
1017d3d0-7f46-11ef-9c74-fd3498070b78-1,1,1,1,1,saiu_de_vez,739,442,533,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
1162de70-0db1-11f0-8313-257138f0c29d-1,1,1,1,1,saiu_de_vez,602,501,618,BAIXO,MEDIO,BAIXO,BAIXO,MEDIO,BAIXO
