target,features,fpr,tpr,auc
Estendido (pos-gratis),perfil_pgto,0.1992,0.484,0.7382
Estendido (pos-gratis),perfil_pgto,0.2044,0.4908,0.7382
Estendido (pos-gratis),perfil_pgto,0.2121,0.503,0.7382
Estendido (pos-gratis),perfil_pgto,0.2252,0.5202,0.7382
Estendido (pos-gratis),perfil_pgto,0.2281,0.5245,0.7382
Estendido (pos-gratis),perfil_pgto,0.231,0.528,0.7382
Estendido (pos-gratis),perfil_pgto,0.2341,0.5329,0.7382
Estendido (pos-gratis),perfil_pgto,0.2377,0.5373,0.7382
Estendido (pos-gratis),perfil_pgto,0.2467,0.5491,0.7382
Estendido (pos-gratis),perfil_pgto,0.2498,0.5538,0.7382
Estendido (pos-gratis),perfil_pgto,0.2531,0.5584,0.7382
Estendido (pos-gratis),perfil_pgto,0.2643,0.5738,0.7382
Estendido (pos-gratis),perfil_pgto,0.2667,0.5774,0.7382
Estendido (pos-gratis),perfil_pgto,0.2695,0.5811,0.7382
Estendido (pos-gratis),perfil_pgto,0.2726,0.5844,0.7382
Estendido (pos-gratis),perfil_pgto,0.2784,0.5919,0.7382
Estendido (pos-gratis),perfil_pgto,0.3,0.6193,0.7382
Estendido (pos-gratis),perfil_pgto,0.3027,0.6225,0.7382
Estendido (pos-gratis),perfil_pgto,0.3052,0.6257,0.7382
Estendido (pos-gratis),perfil_pgto,0.31,0.6314,0.7382
Estendido (pos-gratis),perfil_pgto,0.3134,0.6354,0.7382
Estendido (pos-gratis),perfil_pgto,0.3167,0.6391,0.7382
Estendido (pos-gratis),perfil_pgto,0.3201,0.6429,0.7382
Estendido (pos-gratis),perfil_pgto,0.3231,0.6464,0.7382
Estendido (pos-gratis),perfil_pgto,0.3314,0.6562,0.7382
Estendido (pos-gratis),perfil_pgto,0.3347,0.6599,0.7382
Estendido (pos-gratis),perfil_pgto,0.3374,0.6629,0.7382
Estendido (pos-gratis),perfil_pgto,0.3444,0.6709,0.7382
Estendido (pos-gratis),perfil_pgto,0.3472,0.674,0.7382
Estendido (pos-gratis),perfil_pgto,0.3498,0.6777,0.7382
Estendido (pos-gratis),perfil_pgto,0.3529,0.6815,0.7382
Estendido (pos-gratis),perfil_pgto,0.356,0.6848,0.7382
Estendido (pos-gratis),perfil_pgto,0.3587,0.6879,0.7382
Estendido (pos-gratis),perfil_pgto,0.3616,0.691,0.7382
Estendido (pos-gratis),perfil_pgto,0.3673,0.6967,0.7382
Estendido (pos-gratis),perfil_pgto,0.3754,0.7051,0.7382
Estendido (pos-gratis),perfil_pgto,0.3787,0.7096,0.7382
Estendido (pos-gratis),perfil_pgto,0.3815,0.7127,0.7382
Estendido (pos-gratis),perfil_pgto,0.3847,0.716,0.7382
Estendido (pos-gratis),perfil_pgto,0.3876,0.7186,0.7382
Estendido (pos-gratis),perfil_pgto,0.3931,0.7245,0.7382
Estendido (pos-gratis),perfil_pgto,0.3981,0.7298,0.7382
Estendido (pos-gratis),perfil_pgto,0.401,0.7324,0.7382
Estendido (pos-gratis),perfil_pgto,0.4042,0.7355,0.7382
Estendido (pos-gratis),perfil_pgto,0.4111,0.7416,0.7382
Estendido (pos-gratis),perfil_pgto,0.4143,0.7445,0.7382
Estendido (pos-gratis),perfil_pgto,0.4187,0.7482,0.7382
Estendido (pos-gratis),perfil_pgto,0.4271,0.7569,0.7382
Estendido (pos-gratis),perfil_pgto,0.4299,0.7601,0.7382
Estendido (pos-gratis),perfil_pgto,0.4326,0.7631,0.7382
Estendido (pos-gratis),perfil_pgto,0.4362,0.7665,0.7382
Estendido (pos-gratis),perfil_pgto,0.4393,0.7696,0.7382
Estendido (pos-gratis),perfil_pgto,0.4426,0.7725,0.7382
Estendido (pos-gratis),perfil_pgto,0.4471,0.7765,0.7382
Estendido (pos-gratis),perfil_pgto,0.4504,0.7795,0.7382
Estendido (pos-gratis),perfil_pgto,0.454,0.7827,0.7382
Estendido (pos-gratis),perfil_pgto,0.4578,0.7857,0.7382
Estendido (pos-gratis),perfil_pgto,0.4616,0.7892,0.7382
Estendido (pos-gratis),perfil_pgto,0.4654,0.7924,0.7382
Estendido (pos-gratis),perfil_pgto,0.4693,0.7954,0.7382
Estendido (pos-gratis),perfil_pgto,0.4721,0.7985,0.7382
Estendido (pos-gratis),perfil_pgto,0.4834,0.808,0.7382
Estendido (pos-gratis),perfil_pgto,0.4866,0.8109,0.7382
Estendido (pos-gratis),perfil_pgto,0.4901,0.8135,0.7382
Estendido (pos-gratis),perfil_pgto,0.4934,0.8164,0.7382
Estendido (pos-gratis),perfil_pgto,0.4966,0.8193,0.7382
Estendido (pos-gratis),perfil_pgto,0.4999,0.8219,0.7382
Estendido (pos-gratis),perfil_pgto,0.5046,0.8259,0.7382
Estendido (pos-gratis),perfil_pgto,0.515,0.8342,0.7382
Estendido (pos-gratis),perfil_pgto,0.5184,0.8368,0.7382
Estendido (pos-gratis),perfil_pgto,0.5219,0.8394,0.7382
Estendido (pos-gratis),perfil_pgto,0.5253,0.8422,0.7382
Estendido (pos-gratis),perfil_pgto,0.5296,0.8454,0.7382
Estendido (pos-gratis),perfil_pgto,0.5334,0.8486,0.7382
Estendido (pos-gratis),perfil_pgto,0.5375,0.8516,0.7382
Estendido (pos-gratis),perfil_pgto,0.5407,0.854,0.7382
Estendido (pos-gratis),perfil_pgto,0.5443,0.8566,0.7382
Estendido (pos-gratis),perfil_pgto,0.5527,0.8632,0.7382
Estendido (pos-gratis),perfil_pgto,0.556,0.8656,0.7382
Estendido (pos-gratis),perfil_pgto,0.56,0.8678,0.7382
Estendido (pos-gratis),perfil_pgto,0.5643,0.8707,0.7382
Estendido (pos-gratis),perfil_pgto,0.5679,0.873,0.7382
Estendido (pos-gratis),perfil_pgto,0.5712,0.8752,0.7382
Estendido (pos-gratis),perfil_pgto,0.5747,0.8775,0.7382
Estendido (pos-gratis),perfil_pgto,0.5781,0.8799,0.7382
Estendido (pos-gratis),perfil_pgto,0.5819,0.8825,0.7382
Estendido (pos-gratis),perfil_pgto,0.5854,0.8846,0.7382
Estendido (pos-gratis),perfil_pgto,0.5893,0.887,0.7382
Estendido (pos-gratis),perfil_pgto,0.5927,0.8892,0.7382
Estendido (pos-gratis),perfil_pgto,0.5961,0.8914,0.7382
Estendido (pos-gratis),perfil_pgto,0.5996,0.8936,0.7382
Estendido (pos-gratis),perfil_pgto,0.6064,0.8974,0.7382
Estendido (pos-gratis),perfil_pgto,0.6104,0.9001,0.7382
Estendido (pos-gratis),perfil_pgto,0.6166,0.9039,0.7382
Estendido (pos-gratis),perfil_pgto,0.6197,0.9061,0.7382
Estendido (pos-gratis),perfil_pgto,0.6228,0.9083,0.7382
Estendido (pos-gratis),perfil_pgto,0.6265,0.9105,0.7382
Estendido (pos-gratis),perfil_pgto,0.6299,0.9128,0.7382
Estendido (pos-gratis),perfil_pgto,0.634,0.915,0.7382
Estendido (pos-gratis),perfil_pgto,0.6379,0.9175,0.7382
Estendido (pos-gratis),perfil_pgto,0.6414,0.9197,0.7382
Estendido (pos-gratis),perfil_pgto,0.6449,0.9219,0.7382
Estendido (pos-gratis),perfil_pgto,0.6488,0.9243,0.7382
Estendido (pos-gratis),perfil_pgto,0.6529,0.9266,0.7382
Estendido (pos-gratis),perfil_pgto,0.6568,0.9287,0.7382
Estendido (pos-gratis),perfil_pgto,0.6603,0.9309,0.7382
Estendido (pos-gratis),perfil_pgto,0.6639,0.9332,0.7382
Estendido (pos-gratis),perfil_pgto,0.6687,0.9358,0.7382
Estendido (pos-gratis),perfil_pgto,0.6728,0.938,0.7382
Estendido (pos-gratis),perfil_pgto,0.6772,0.9401,0.7382
Estendido (pos-gratis),perfil_pgto,0.6814,0.9423,0.7382
Estendido (pos-gratis),perfil_pgto,0.6861,0.9446,0.7382
Estendido (pos-gratis),perfil_pgto,0.6898,0.9466,0.7382
Estendido (pos-gratis),perfil_pgto,0.6941,0.9486,0.7382
Estendido (pos-gratis),perfil_pgto,0.6987,0.9507,0.7382
Estendido (pos-gratis),perfil_pgto,0.7036,0.9528,0.7382
Estendido (pos-gratis),perfil_pgto,0.7078,0.955,0.7382
Estendido (pos-gratis),perfil_pgto,0.7116,0.9568,0.7382
Estendido (pos-gratis),perfil_pgto,0.7159,0.9584,0.7382
Estendido (pos-gratis),perfil_pgto,0.7206,0.9604,0.7382
Estendido (pos-gratis),perfil_pgto,0.7251,0.9623,0.7382
Estendido (pos-gratis),perfil_pgto,0.73,0.9642,0.7382
Estendido (pos-gratis),perfil_pgto,0.735,0.9662,0.7382
Estendido (pos-gratis),perfil_pgto,0.7397,0.9681,0.7382
Estendido (pos-gratis),perfil_pgto,0.7453,0.9701,0.7382
Estendido (pos-gratis),perfil_pgto,0.751,0.972,0.7382
Estendido (pos-gratis),perfil_pgto,0.7571,0.9739,0.7382
Estendido (pos-gratis),perfil_pgto,0.7632,0.9758,0.7382
Estendido (pos-gratis),perfil_pgto,0.7691,0.9776,0.7382
Estendido (pos-gratis),perfil_pgto,0.7754,0.9792,0.7382
Estendido (pos-gratis),perfil_pgto,0.7825,0.9809,0.7382
Estendido (pos-gratis),perfil_pgto,0.7894,0.9825,0.7382
Estendido (pos-gratis),perfil_pgto,0.7979,0.9845,0.7382
Estendido (pos-gratis),perfil_pgto,0.8044,0.9859,0.7382
Estendido (pos-gratis),perfil_pgto,0.8128,0.9875,0.7382
Estendido (pos-gratis),perfil_pgto,0.8201,0.9889,0.7382
Estendido (pos-gratis),perfil_pgto,0.8288,0.99,0.7382
Estendido (pos-gratis),perfil_pgto,0.8354,0.991,0.7382
Estendido (pos-gratis),perfil_pgto,0.8451,0.9923,0.7382
Estendido (pos-gratis),perfil_pgto,0.8529,0.9932,0.7382
Estendido (pos-gratis),perfil_pgto,0.8604,0.9941,0.7382
Estendido (pos-gratis),perfil_pgto,0.8718,0.9952,0.7382
Estendido (pos-gratis),perfil_pgto,0.8826,0.9959,0.7382
Estendido (pos-gratis),perfil_pgto,0.9035,0.9974,0.7382
Estendido (pos-gratis),perfil_pgto,0.9281,0.9987,0.7382
Estendido (pos-gratis),perfil_pgto,0.9515,0.9995,0.7382
Estendido (pos-gratis),perfil_pgto,0.9714,0.9998,0.7382
Estendido (pos-gratis),perfil_pgto,0.9994,1.0,0.7382
