status_medico,total_contratos,churners,churn_rate,churn_real,churn_real_rate,media_medicos,media_medicos_sairam
Medico ficou,116757,63307,54.22,33788,28.94,2.7,0.0
Medico saiu,86052,46770,54.35,23222,26.99,5.1,1.5
